Probe,SMILES,pKd
12c,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCOCCO)=O)=C2)=C1,7.29
7b,CN(C)C1=CC=C2C(C=CC(/C=C/C=C(C#N)/C(OC)=O)=C2)=C1,7.4
QM-SF-1,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=C(OC)C=C4)S3)C=C2,6.68
MC-N-7,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCC4=CNC5=C4C=CC=C5)=C(CCC/3)/C=C(C#N)\C#N,7.19
3h,CN(C)C1=CC(OC)=C(/C=C/C=C/C=C(C#N)/C(OCC2=CC=CO2)=O)C(OC)=C1,5.99
2Cb,CN(C)C1=CC=C(C2=CC=CC=N2)C=C1,5.12
1Ce,CN(C)C1=CC=C(C#CC2=CC=C(C#N)N=C2)C=C1,6.15
BAP-3,CC1=C2N([B-](F)(F)[N+]3=CC=CC3C2)C(/C=C/C4=CC=C(N(C)C)O4)=C1,6.83
10,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C=C4SC(N(CCC(OC(C)(C)C)=O)C\4=O)=S)=C3,6.03
3g,OC1=CC(/C=C/C2=CC=C(C3=NSN=C32)/C=C/C4=CC=C(C=C4)O)=CC(O)=C1,7.14
1Aa,OCCN(CC)C1=CC=C(C#CC2=CC=C(C#N)C=C2)C=C1,6.13
11c,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCO)=O)=C2)=C1,7.28
1Bc,FCCN(CC)C1=CC=C(C#CC2=CC=C(C#N)C=N2)C=C1,6.17
QM-SF-3,CN(C)C(C=C1)=CC2C1[N+](C)=C(/C=C/C3=CC=C(C4=CC=CC=C4)S3)C=C2,7.25
probe 1,CCC1(CC)C2=CC(/C=C/C3=CC=C(N(C)C)C=C3)=CC=C2C4=C1C=C(CCCOCCOCCOCC)C=C4,5.65
9d,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,7.81
BocBDP,CC1=CC(C)=[N+]2C1=CC3=C(C)C=C(/C=C/C4=CC=C(NC(OC(C)(C)C)=O)C=C4)N3[B-]2(F)F,7.17
BPM1,OC1=CC(OC)=C(/C=C/C2=[N+](C)C3=C(C=CC=C3)S2)C=C1,5.98
NT-HTCP,CC(N/1)(O)C(/C=C/C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=C(C#N)C1=C(C#N)/C#N,7.48
NIR 1,F[B-]1(F)OC(/C=C/C=C2N(CCOCCOCCO)C(C=CC=C3)=C3C/2(C)C)=CC(/C=C/C4=CC=C(N5CCOCC5)C=C4)=[O+]1,7.57
9a,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,6.38
Q17,C[N+](C(C=CC=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,6.65
PAD-3,CN(C)C(C=C1)=CC=C1/C=C/C2=C/C(C(C=CC=C3)=C3O2)=C(C#N)/C#N,7.03
DMP3,CN(C)C1=CC=C(C2=CC=C(/C=C/C3=[N+](C4=CC=CC5=CC=CC3=C45)CCOCCOC)S2)C=C1,6.55
QNN-3a,CN(C)C(S1)=CC=C1/C=C/C2=CN=CC=N2,6.63
SZI-2,C[N+](C(C=CC=C1)=C1S2)=C2/C=C/C=C/C3=CC=C(N(C)C)C=C3,6.22
14,O=C(OCC(O)CO)/C(C#N)=C/C1=CC=C(N(C)C)C=C1,5.48
MC-N-8,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCC4=CNC5=C4C=C(OC)C=C5)=C(CCC/3)/C=C(C#N)\C#N,7.21
NAP-OB,CC(C)CC1=[O+][B-](F)(F)OC(/C=C/C2=CC(C=CC(N(C)C)=C3)=C3C=C2)=C1,9.21
CRANAD-61,O=C1O[B-]2(OC(/C=C/C3=CC=C(C=C3)N(C)C)=CC(/C=C/C4=CC=C(C=C4)N(C)C)=[O+]2)OC1=O,7.42
DDNP,CN(C)C1=CC=C2C(C=CC(/C(C)=C(C#N)\C#N)=C2)=C1,5.32
DMMAD-3,CN(C)C1=CC=C(C=C1)/C=C/C=C/C=C(C(OC)=O)\C(OC)=O,6.19
probe 1,CC1=CC(C)=[N+]2C1=C(CCCN(C3=CC=CC=C3)C)C4=C(C)C=C(C)N4[B-]2(F)F,8.46
DADNIR-5,COC1=CC=C(/C=C/C=C(/C=C/C(C#N)=C/C=C/C2=CC=C(C=C2)OC)C#N)C=C1,6.93
DTM-3,CN(C)C1=CC=C(/C=C/C=C/C=C/C=C(C#N)\C#N)S1,6.49
ARCAM 1,O=C(NCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(N3CCCCC3)C=C2C=C1,5.2
RM-28,CC[N+]1=C(/C=C/C2=CC=C(N(C)CCO)C=C2)SC3=CC=CC=C31,6.76
CRANAD-3,CCN(CC)C1=CC=C(/C=C/C2=CC(/C=C/C3=CN=C(N(CC)CC)C=C3)=[O+][B-](F)(F)O2)C=N1,7.57
CarbCN,CC(C1)(C)C/C(C=C1/C=C/C2=CC=CC=C2OCCCNC(OC(C)(C)C)=O)=C(C#N)/C#N,7.2
8c,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C(C#N)/C(OCCOC)=O)=C2)=C1,7.51
